Datum	Tid	Väg	Totalt antal påstigande	lat	lon
03/07/24	12.50	UT	45	57.659177	11.839656
03/07/24	14.20	UT	0	57.659177	11.839656
03/07/24	15.30	UT	112	57.659177	11.839656
03/07/24	16.40	UT	25	57.659177	11.839656
03/07/24	17.37	UT	80	57.659177	11.839656
03/07/24	19.05	UT	63	57.659177	11.839656
03/07/24	05.06	IN	8	57.574184	11.7782755
03/07/24	05.58	IN	44	57.574184	11.7782755
03/07/24	07.21	IN	49	57.574184	11.7782755
03/07/24	09.15	IN	104	57.574184	11.7782755
03/07/24	10.12	IN	79	57.574184	11.7782755
03/07/24	12.42	IN	65	57.574184	11.7782755
03/07/24	13.47	IN	61	57.574184	11.7782755
03/07/24	15.27	IN	72	57.574184	11.7782755
03/07/24	16.34	IN	141	57.574184	11.7782755
03/07/24	17.24	IN	67	57.574184	11.7782755
03/07/24	18.57	IN	77	57.574184	11.7782755
03/07/24	20.12	IN	23	57.574184	11.7782755
04/07/24	05.11	UT	4	57.659177	11.839656
04/07/24	06.00	UT	0	57.659177	11.839656
04/07/24	07.25	UT	34	57.659177	11.839656
04/07/24	11.50	UT	20	57.659177	11.839656
04/07/24	12.50	UT	20	57.659177	11.839656
04/07/24	15.30	UT	87	57.659177	11.839656
04/07/24	16.40	UT	17	57.659177	11.839656
04/07/24	17.37	UT	69	57.659177	11.839656
04/07/24	19.05	UT	77	57.659177	11.839656
04/07/24	05.06	IN	8	57.574184	11.7782755
04/07/24	05.58	IN	44	57.574184	11.7782755
04/07/24	06.55	IN	50	57.574184	11.7782755
04/07/24	08.25	IN	77	57.574184	11.7782755
04/07/24	12.42	IN	44	57.574184	11.7782755
04/07/24	13.47	IN	56	57.574184	11.7782755
04/07/24	16.33	IN	58	57.574184	11.7782755
04/07/24	17.24	IN	15	57.574184	11.7782755
04/07/24	18.57	IN	20	57.574184	11.7782755
04/07/24	20.12	IN	18	57.574184	11.7782755
05/07/24	05.11	UT	1	57.659177	11.839656
05/07/24	06.08	UT	30	57.659177	11.839656
05/07/24	07.54	UT	39	57.659177	11.839656
05/07/24	09.20	UT	86	57.659177	11.839656
05/07/24	11.50	UT	40	57.659177	11.839656
05/07/24	12.50	UT	33	57.659177	11.839656
05/07/24	15.30	UT	97	57.659177	11.839656
05/07/24	16.40	UT	41	57.659177	11.839656
05/07/24	17.37	UT	98	57.659177	11.839656
05/07/24	19.05	UT	47	57.659177	11.839656
05/07/24	05.11	IN	10	57.574184	11.7782755
05/07/24	05.58	IN	41	57.574184	11.7782755
05/07/24	07.21	IN	47	57.574184	11.7782755
05/07/24	09.15	IN	81	57.574184	11.7782755
05/07/24	10.12	IN	66	57.574184	11.7782755
05/07/24	12.42	IN	72	57.574184	11.7782755
05/07/24	13.47	IN	49	57.574184	11.7782755
05/07/24	16.34	IN	70	57.574184	11.7782755
05/07/24	17.24	IN	22	57.574184	11.7782755
